chromatin_remodeler,synonyms
INO80B,"ZNHIT4, PAP-1BP, HMGA1L4, PAPA-1, HMGIYL4, IES2, HIES2"
MYC,"MRTL, BHLHE39, C-MYC, MYCC"
JARID2,JMJ
KDM4B,"TDRD14B, JMJD2B"
INO80C,"C18ORF37, HIES6, IES6"
KDM2B,"FBXL10, JHDM1B, FBL10, PCCX2, CXXC2"
KDM4E,"JMJD2E, KDM4DL, KDM5E"
ZNF827,
LOXL2,"LOR, WS9-14, LOR2"
PER2,"FASPS, FASPS1"
C6ORF89,"C6orf89, PS1TP5TP1, BRAP"
TET1,"CXXC6, LCX, MLL-TET1, BA119F7.1"
CFDP1,"CENP-29, BCNT, BUCENTAUR, SWC5, YETI"
RB1,"PP110, PRB, PPP1R130, OSRC, RB, P105-RB"
SART3,"TIP110, DSAP1, RP11-13G14, P110(NRB)"
HDAC4,"BDMR, HD4, AHO3, HA6116, HDACA, HDAC-A, HDAC-4"
WAC,"BM-016, PRO1741, DESSH, Wwp4"
MYSM1,"2A-DUB, BMFS4, 2ADUB"
DPF1,"BAF45B, NEURO-D4, NEUD4"
SATB1,
RNF2,"DING, HIPI3, RING2, RING1B, BAP1, BAP-1"
PADI2,"PAD-H19, PAD2, PDI2"
SKP1,"TCEB1L, P19A, OCP2, OCP-II, SKP1A, EMC19"
ASF1A,"CGI-98, HSPC146, CIA"
MTA3,
YEATS2,
REST,"DFNA27, NRSF, XBR, GINGF5, HGF5, WT6"
BCL7A,BCL7
CBX3,"HP1HS-GAMMA, HECH, HP1-GAMMA"
INO80,"INOC1, HINO80, INO80A"
BRDT,"BRD6, CT9, SPGF21"
HILS1,H1.9
PSIP1,"DFS70, PAIP, PSIP2, LEDGF"
COPRS,"C17ORF79, HSA272196, COPR5"
BABAM1,"MERIT40, NBA1, C19ORF62, HSPC142"
DEPDC1B,"XTP1, BRCC3"
SS18,"SYT, SSXT"
MIER1,"MI-ER1, ER1"
KDM5B,"PUT1, CT31, PLU1, RBP2-H1, JARID1B, RBBP2H1A, PPP1R98, MRT65, PLU-1"
BRPF1,"BR140, IDDDFP"
CXORF67,CXorf67
NFRKB,INO80G
DDX23,"SNRNP100, U5-100K, PRP28, U5-100KD, PRPF28"
BCL7C,
NPM2,
PHC1,"RAE28, EDR1, MCPH11, HPH1"
PARP2,"PADPRT-2, ADPRTL2, ADPRTL3, ADPRT2, PARP-2, ARTD2"
SNAI1,"SNA, SNAH, SNAIL, SNAIL1, SLUGH2, DJ710H13.1"
SMARCAD1,"ADERM, HEL1, BASNS"
BPTF,"FALZ, NURF301, FAC1, NEDDFL"
CDK9,"CTK1, CDC2L4, C-2K, TAK, PITALRE"
MORC2,"ZCW3, ZCWCC1, CMT2Z"
BCL7B,
HDAC2,"YAF1, HD2"
H3C1,
USP15,"UNPH4, UNPH-2"
SETD4,"C21ORF18, C21ORF27"
BAZ2A,"TIP5, WALP3"
TDG,HTDG
KDM6B,JMJD3
NFAT5,"NF-AT5, NFATL1, NFATZ, OREBP, TONEBP"
DPF3,"BAF45C, CERD4"
PHF1,"TDRD19C, MTF2L2, HPHF1, PHF2"
ARID2,"CSS6, BAF200"
SMARCA2,"BAF190, SNF2L2, SNF2, BRM, NCBRS, HBRM, HSNF2A, SNF2LA, STH1P"
SMARCD1,"CRACD1, Rsc6p, BAF60A"
PHB,"PHB1, HEL-215, HEL-S-54E"
ACTR5,INO80M
IWS1,
TAF6L,PAF65A
RSF1,"XAP8, P325, HBXAP, RSF-1"
PBRM1,"BAF180, PB1"
HNRNPC,"HNRPC, C2, HNRNP, SNRPC"
PCGF6,"RNF134, MBLR"
KDM4D,JMJD2D
GATAD2B,"P66BETA, MRD18"
BICRA,
UBR5,"EDD1, DD5, HYD, EDD"
CHD3,"MI2-ALPHA, MI-2A, ZFH"
PADI4,"PADI5, PAD, PAD4, PDI4, PDI5"
PCID2,F10
HDGF,HMG1L2
DAXX,"EAP1, BING2, DAP6"
PAXIP1,"CAGF29, CAGF28, PACIP1, PTIP, TNRC2, PAXIP1L"
DEK,D6S231E
DR1,"NC2, NC2-BETA, NCB2, NC2B"
SETDB2,"CLLL8, KMT1F, CLLD8, C13ORF4"
PWWP2A,MST101
HCFC2,HCF-2
GATAD1,"ODAG, CMD2B, RG083M05.2"
HDAC1,"RPD3L1, RPD3, GON-10, HD1"
KDM6A,"KABUK2, BA386N14.2, UTX"
CHEK1,CHK1
MTA1,
SUPT6H,"EMB-5, SPT6H, SPT6"
BAZ1A,"HACF1, WALP1, ACF1, WCRF180"
HIRA,"DGCR1, TUP1, TUPLE1"
SMARCC2,"BAF170, CRACC2"
BAZ1B,"WBSCR10, WBSCR9, WSTF"
KAT2B,"PCAF, P/CAF, CAF"
SATB2,GLSS
BCOR,"ANOP2, MAA2, MCOPS2"
DDX21,"GURDB, GUA, RH-II/GUA, RH-II/GU"
TOP1,TOPI
UCHL5,"CGI-70, UCH37, UCH-L5, INO80R"
MBD3,
HDGFL1,"PWWP1, HRP-1, DJ309H15.1, Hdgfrp1"
KAT2A,"GCN5L2, HGCN5, GCN5, PCAF-B"
TRIP12,"MRD49, ULF, TRIP-12"
TADA2B,"ADA2B, ADA2(BETA)"
BRD7,"CELTIX1, NAG4"
HP1BP3,"HP1BP74, HP1-BP74"
